iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 FMM+1B0003_001 f 0.00  1.003     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.031 +1O000M000t
00002 FMM+1B0003_002 f 0.00  1.003     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.282   0.031 +1O000M000t
00003 FMM01B0003_003 f 0.00 -0.001     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.092   1.766 01O000M000t
00004 FMM01B0003_004 f 0.00 -0.001     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   1.766 01O000M000t
00005 FMM01B0003_005 f 0.00 -0.001     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.053   1.766 01T000M000t
00006 FMM01B0003_006 f 0.00 -0.001     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.074   1.766 01T000M000t
00007 FMM+aB0003_007 f 0.00  2.003     0  0.00  0  0   0.000   0.000   0.000   0.000   0.187   5.085 +aO000M000t
00008 FMM+aB0003_008 f 0.00  2.003     0  0.00  0  0   0.000   0.000   0.000   0.000   0.093   5.085 +aO000M000t
00009 FMM+aB0003_009 f 0.00  2.003     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.247   5.085 +aT000M000t
00010 FMM+aB0003_010 f 0.00  2.003     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   5.085 +aT000M000t
00011 FMMDMB0003_011 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
